7kIfziTtnyQ,30.000,40.000,Car,/m/0k4j
wvEgSLon6s8,30.000,40.000,Car,/m/0k4j
8ilwlwOm5qY,30.000,40.000,Screaming,/m/03qc9zr
nyl_JhZ5hPE,30.000,40.000,Car,/m/0k4j
4Lr0X9-BM2E,30.000,40.000,Truck,/m/07r04
WgU225oMh7c,100.000,110.000,"Reversing beeps,Car","/m/02rhddq,/m/0k4j"
2YBryBcyze4,0.000,10.000,"Car,Car passing by","/m/0k4j,/t/dd00134"
9rN6W6hgrso,30.000,40.000,Truck,/m/07r04
-RhoIKhCBS4,12.000,22.000,Truck,/m/07r04
s8Qp_k9X0hg,0.000,10.000,Truck,/m/07r04
FgMI3yEXj1Q,30.000,40.000,Civil defense siren,/m/0dgbq
PrRajPCFxFI,30.000,40.000,Bus,/m/01bjv
7CfzRGAk6MM,4.000,14.000,Bus,/m/01bjv
4us0jDk08gw,30.000,40.000,"Car,Car passing by","/m/0k4j,/t/dd00134"
HubiH4TLUCA,230.000,240.000,Train,/m/07jdr
3HC2mvy9tqo,30.000,40.000,Car,/m/0k4j
mfgs-qiEmCU,30.000,40.000,Bus,/m/01bjv
2wKP1A8On1E,30.000,40.000,"Car,Car passing by","/m/0k4j,/t/dd00134"
1427lBDSkq0,10.000,20.000,Motorcycle,/m/04_sv
ir4GJdhHHHQ,4.000,14.000,Car,/m/0k4j
4Ql8hkqRCzk,30.000,40.000,Car,/m/0k4j
TPj0SeFuX8M,30.000,40.000,Car,/m/0k4j
rr8Obj0u1_w,30.000,40.000,Car,/m/0k4j
23t8xzpdYrQ,6.000,16.000,Truck,/m/07r04
71WTTrtdfps,30.000,40.000,Car,/m/0k4j
5AvPxHeSl8s,30.000,40.000,Bus,/m/01bjv
JoL9pa0UCNg,29.000,39.000,Car,/m/0k4j
08e6vplvgLI,30.000,40.000,Bus,/m/01bjv
tfhFnXfxm2E,9.000,19.000,Car,/m/0k4j
HG1rWkHan_A,1.000,11.000,Car,/m/0k4j
_Hvv5f266E8,10.000,20.000,Car,/m/0k4j
zbq293ElYko,140.000,150.000,Motorcycle,/m/04_sv
qCU50asuOWg,30.000,40.000,Car,/m/0k4j
